Location,Total Traditional Medicare Part A and/or Part B Enrollees,Total Medicare Part A and/or Part B Persons With Utilization,Total Medicare Part A and/or Part B Program Payments,Total Traditional Medicare Part A Enrollees,Total Medicare Part A Persons With Utilization,Total Medicare Part A Program Payments,Total Traditional Medicare Part B Enrollees,Total Medicare Part B Persons With Utilization,Total Medicare Part B Program Payments
United States,"37,094,414","33,309,921",3.78735E+11,"36,783,936","6,875,391","$186,917,593,853 ","32,119,038","32,601,520","$191,817,217,885 "
Alabama,"576,690","532,749",5772229677,"570,551","125,942","$2,832,097,156 ","504,109","518,136","$2,940,132,521 "
Alaska,"102,635","85,161",904320504,"102,248","12,483","$425,251,912 ","90,242","84,384","$479,068,592 "
Arizona,"788,009","716,353",7268690850,"777,956","135,695","$3,296,281,676 ","683,426","695,375","$3,972,409,175 "
Arkansas,"453,946","416,897",4252117908,"452,549","86,707","$2,023,239,026 ","408,045","410,496","$2,228,878,882 "
California,"3,503,899","2,920,814",40297886696,"3,378,130","587,773","$21,085,153,666 ","2,937,644","2,823,489","$19,212,733,030 "
Colorado,"527,895","465,662",4580004509,"519,850","85,436","$2,089,286,496 ","448,812","453,839","$2,490,718,013 "
Connecticut,"382,148","333,053",4334416229,"380,121","75,535","$2,268,430,509 ","315,209","326,133","$2,065,985,720 "
Delaware,"174,831","163,283",1789829724,"174,041","29,950","$837,368,965 ","159,148","161,499","$952,460,760 "
District of Columbia,"73,305","57,373",765217780,"72,011","12,214","$428,061,741 ","57,949","55,941","$337,156,039 "
Florida,"2,411,875","2,227,414",27342725694,"2,406,346","508,311","$12,695,050,168 ","2,120,429","2,176,599","$14,647,675,526 "
Georgia,"1,012,084","916,523",10207758922,"993,764","192,761","$4,886,793,149 ","882,797","896,029","$5,320,965,773 "
Hawaii,"148,116","111,621",1018182700,"147,789","18,682","$522,016,213 ","110,056","106,881","$496,166,487 "
Idaho,"219,572","197,606",1802857026,"219,441","34,965","$789,621,693 ","194,973","193,384","$1,013,235,333 "
Illinois,"1,582,598","1,422,094",16387771591,"1,563,398","296,177","$7,940,712,402 ","1,386,181","1,401,088","$8,447,059,189 "
Indiana,"823,560","763,556",8225077205,"821,730","163,290","$4,077,372,755 ","732,587","751,633","$4,147,704,450 "
Iowa,"477,397","455,073",4255793943,"477,165","84,893","$1,929,048,128 ","434,045","449,860","$2,326,745,815 "
Kansas,"429,874","396,420",4156837803,"429,087","81,773","$1,951,843,330 ","385,891","390,879","$2,204,994,473 "
Kentucky,"578,907","541,510",5457075926,"568,960","111,632","$2,615,248,397 ","517,786","531,565","$2,841,827,528 "
Louisiana,"512,975","472,548",5788529855,"511,578","111,015","$2,960,056,377 ","450,735","462,065","$2,828,473,479 "
Maine,"202,663","179,795",1692375800,"201,118","32,859","$772,851,554 ","177,363","176,628","$919,524,246 "
Maryland,"920,102","780,817",10058236455,"918,272","141,005","$4,956,531,777 ","777,965","769,038","$5,101,704,678 "
Massachusetts,"989,454","874,288",10468978706,"987,911","182,717","$5,526,321,902 ","852,452","863,108","$4,942,656,804 "
Michigan,"1,096,687","1,014,733",10999126161,"1,095,808","226,798","$5,566,547,755 ","966,011","989,958","$5,432,578,406 "
Minnesota,"539,965","539,369",5554792164,"538,871","110,561","$2,772,940,447 ","460,895","526,488","$2,781,851,717 "
Mississippi,"464,521","438,675",5021195497,"464,221","92,631","$2,343,492,659 ","427,182","433,204","$2,677,702,838 "
Missouri,"748,330","680,051",7434755910,"746,869","151,988","$3,639,047,179 ","655,284","665,049","$3,795,708,731 "
Montana,"188,972","168,881",1493688776,"188,300","27,364","$644,551,048 ","171,272","166,815","$849,137,728 "
Nebraska,"282,565","261,764",2753323388,"282,234","49,393","$1,287,710,014 ","253,814","258,485","$1,465,613,374 "
Nevada,"329,339","271,039",3383645700,"326,769","58,280","$1,741,435,190 ","273,393","262,137","$1,642,210,511 "
New Hampshire,"240,172","207,255",2034201174,"240,046","36,647","$976,823,899 ","207,634","204,510","$1,057,377,275 "
New Jersey,"1,109,324","962,828",12313694377,"1,094,544","195,855","$6,197,297,966 ","938,829","949,169","$6,116,396,411 "
New Mexico,"262,010","226,052",2078272816,"256,958","40,453","$988,035,253 ","226,960","219,931","$1,090,237,563 "
New York,"2,069,578","1,814,615",24057459461,"2,049,993","369,012","$12,975,617,676 ","1,723,441","1,782,839","$11,081,841,785 "
